area,zone_height,azimuth,absorptance,wall_u,wall_ct,wwr,glass,shading,people,open_fac,roof,ground,bldg_ratio,n_floor,v_ar
0.8159689895946236,0.3614611994274126,0.4114864888716104,0.9981763715815302,0.4670945485313138,0.1086545324153332,0.1048121715400816,0.49355596540383373,0.242077565531726,0.5475216098474766,0.42120913987500663,0.9488972147769401,0.2913291499637226,0.5735645676965699,0.42036366757423643,0.6598591806096056
0.6902260502348324,0.18643523853358465,0.2980825859561136,0.2680519950372601,0.8659417846871673,0.23542329897983144,0.7592414463450889,0.9051636931681964,0.7081539401406632,0.4247582576777287,0.955080995558307,0.8812360871784928,0.41402099169524836,0.7981475727037829,0.7136575589747054,0.9031093088111657
0.4831987209346908,0.08102253002693494,0.764909820121856,0.17899114397690186,0.4701174159046346,0.7944008199987365,0.15178747723244312,0.6547912563504551,0.7331818159305133,0.9795258741904772,0.9006997759432914,0.1739061959103001,0.8421449801745248,0.2560112668272469,0.6772675844131503,0.4499844658415752
0.2505006020139864,0.6254334321335323,0.829928345851066,0.5416023586781554,0.1636415365914623,0.46936001145653516,0.23603312032195173,0.3006488702838641,0.18890582425658534,0.45548715325162914,0.6244625887243984,0.5080328080359777,0.999393819296581,0.32423981774880206,0.45783714364972694,0.7270646527899446
0.02030606690381204,0.018404922765176867,0.3448169779320463,0.2240341375198826,0.1794571221801606,0.4784324138612411,0.7299665847386404,0.38265136455704724,0.12777215723041402,0.4038635585128552,0.018884294291774104,0.04937143674107182,0.6337472957167094,0.8652771071840032,0.2813254880943986,0.2761498564397727
0.6679601525475771,0.20141076640474806,0.593166248301639,0.12171753624806095,0.7193353276233179,0.8527219765010086,0.9114396144448587,0.7045898392433296,0.14069906946493935,0.060213151563841334,0.7894124114203881,0.8875172304783574,0.29683551446440637,0.38683391238588,0.05512797789440623,0.5463077270375849
0.5721275596127906,0.7903623274635498,0.3350198149361435,0.38453630880621176,0.5744866207566945,0.6200741996785335,0.71806924716785,0.5292084043747315,0.5458888035963481,0.05612407862005669,0.4473596603958758,0.9288876389593433,0.8863696855731217,0.6171628384502978,0.8479315275506588,0.7005426108104366
0.9410956762038034,0.9122187615650614,0.1093471207671498,0.29751360448485176,0.7405474222874509,0.6025073790882824,0.7482829439783476,0.27294820541991677,0.4867056458720369,0.7604448380409257,0.9694183122332344,0.8513707865401332,0.9660909653469198,0.5094713427474332,0.05883139186211999,0.88880541345733
0.09673811737657238,0.9493572100337805,0.4589162097774151,0.9130283961974919,0.7475489624602402,0.8844475631774597,0.45879868527722584,0.9349935662806363,0.5510604665454556,0.1772144130525845,0.045160091121464345,0.7776104881822162,0.18701224399088504,0.8870460652001086,0.9079513826590422,0.587695777718444
0.08207156285396298,0.8532247332877215,0.7619704409738652,0.4389040972909181,0.059181022783290474,0.5085775857754858,0.42381052949533776,0.47842480768282175,0.3662605699266245,0.6059602244584835,0.6057201145522045,0.48966339265700864,0.9464128028521818,0.7656334520701581,0.46094458771447167,0.951987915112715
0.04153424797338272,0.7591093595725044,0.808695558675867,0.6532501238450807,0.8156082206769742,0.7977490533222479,0.8058128033498841,0.002285575291473532,0.39933457260408123,0.9541642796424613,0.6200381663100488,0.04091882792235103,0.650101846906316,0.2699933017285912,0.41496868845933527,0.9865383587072373
