zone,temp,temp_max,ach,ehf,area,ratio,zone_height,azimuth,floor_height,absorptance,wall_u,wall_ct,wwr,glass,shading,people,corner_window,corridor_window,open_fac,roof,ground,v_ar,file,whole
0,27.824700841797984,35.2125984955612,2.0581213425693905,0.7903846153846154,0.10524752596425067,0.9863144286681876,0.7618377647278805,0.2604336695749589,0.5846334805073153,0.6105370925617201,0.11826446418209016,0.5537154188879653,0.9754217822483748,0.909645205091126,0.47711930974266253,0.413252376855179,0.2589809719665893,0.6074176792587045,0.4153654660942471,0.8141696638009811,0.16901370131553706,0.60214961457871,whole_0000.epJSON,True
1,27.70191767281212,35.24605130086604,2.039981131847251,0.7826923076923077,0.10524752596425067,0.9863144286681876,0.7618377647278805,0.2604336695749589,0.5846334805073153,0.6105370925617201,0.11826446418209016,0.5537154188879653,0.9754217822483748,0.909645205091126,0.47711930974266253,0.413252376855179,0.2589809719665893,0.6074176792587045,0.4153654660942471,0.8141696638009811,0.16901370131553706,0.60214961457871,whole_0000.epJSON,True
2,28.127295769699355,35.824542085298106,2.099822582117105,0.813076923076923,0.10524752596425067,0.9863144286681876,0.7618377647278805,0.2604336695749589,0.5846334805073153,0.6105370925617201,0.11826446418209016,0.5537154188879653,0.9754217822483748,0.909645205091126,0.47711930974266253,0.413252376855179,0.2589809719665893,0.6074176792587045,0.4153654660942471,0.8141696638009811,0.16901370131553706,0.60214961457871,whole_0000.epJSON,True
3,28.032568606474776,35.93028598801983,2.0876090490687114,0.808076923076923,0.10524752596425067,0.9863144286681876,0.7618377647278805,0.2604336695749589,0.5846334805073153,0.6105370925617201,0.11826446418209016,0.5537154188879653,0.9754217822483748,0.909645205091126,0.47711930974266253,0.413252376855179,0.2589809719665893,0.6074176792587045,0.4153654660942471,0.8141696638009811,0.16901370131553706,0.60214961457871,whole_0000.epJSON,True
4,27.8988748295925,35.28613674747677,2.0700547676044287,0.7988461538461539,0.10524752596425067,0.9863144286681876,0.7618377647278805,0.2604336695749589,0.5846334805073153,0.6105370925617201,0.11826446418209016,0.5537154188879653,0.9754217822483748,0.909645205091126,0.47711930974266253,0.413252376855179,0.2589809719665893,0.6074176792587045,0.4153654660942471,0.8141696638009811,0.16901370131553706,0.60214961457871,whole_0000.epJSON,True
5,27.804687030084825,35.38938599590241,2.0557733453451914,0.7938461538461539,0.10524752596425067,0.9863144286681876,0.7618377647278805,0.2604336695749589,0.5846334805073153,0.6105370925617201,0.11826446418209016,0.5537154188879653,0.9754217822483748,0.909645205091126,0.47711930974266253,0.413252376855179,0.2589809719665893,0.6074176792587045,0.4153654660942471,0.8141696638009811,0.16901370131553706,0.60214961457871,whole_0000.epJSON,True
0,27.762383082344783,35.86507455322547,2.478876522360072,0.9334615384615385,0.8522879074016998,0.1967700158628396,0.3059418747057001,0.027858175114545216,0.8911862820994856,0.19564066168483377,0.4600192633549071,0.79393520266874,0.47388032323302914,0.16835628086235097,0.26057834326234264,0.5081974998294906,0.019988053337187388,0.0413327367824955,0.7271626659181112,0.12746846612852855,0.8095816512012086,0.2255324184348298,whole_0001.epJSON,True
1,27.761930012171597,35.85470852251558,2.4786477795213067,0.9392307692307692,0.8522879074016998,0.1967700158628396,0.3059418747057001,0.027858175114545216,0.8911862820994856,0.19564066168483377,0.4600192633549071,0.79393520266874,0.47388032323302914,0.16835628086235097,0.26057834326234264,0.5081974998294906,0.019988053337187388,0.0413327367824955,0.7271626659181112,0.12746846612852855,0.8095816512012086,0.2255324184348298,whole_0001.epJSON,True
2,28.02942889278666,36.34260148952696,2.524804912141026,0.9426923076923077,0.8522879074016998,0.1967700158628396,0.3059418747057001,0.027858175114545216,0.8911862820994856,0.19564066168483377,0.4600192633549071,0.79393520266874,0.47388032323302914,0.16835628086235097,0.26057834326234264,0.5081974998294906,0.019988053337187388,0.0413327367824955,0.7271626659181112,0.12746846612852855,0.8095816512012086,0.2255324184348298,whole_0001.epJSON,True
3,28.033954297731245,36.34810397273764,2.525152705820074,0.946923076923077,0.8522879074016998,0.1967700158628396,0.3059418747057001,0.027858175114545216,0.8911862820994856,0.19564066168483377,0.4600192633549071,0.79393520266874,0.47388032323302914,0.16835628086235097,0.26057834326234264,0.5081974998294906,0.019988053337187388,0.0413327367824955,0.7271626659181112,0.12746846612852855,0.8095816512012086,0.2255324184348298,whole_0001.epJSON,True
